Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization.	The Persian Gulf War was a hurricane that flattened the country's medical landscape, according to a report by the World Health Organization.	The Persian Gulf War leveled the landscape of the country's medical infrastructure, according to a report by the World Health Organization.	The Persian Gulf War drove over much of the country's medical infrastructure, according to a report by the World Health Organization.	The Persian Gulf War drove over much of the country's medical infrastructure, according to a report by the World Health Organization.
Though the sinful propensities remain in us till our dying day, they need not be dominant.	Though the weeds of sin remain in our garden till our dying day, they need not choke the flowers.	Though the weeds of sin remain in us till our dying day, they need not be dominant.	Though the crooked propensities remain in us till our dying day, they need not be dominant.	Though the crooked propensities remain in us till our dying day, they need not be dominant.
His face was livid and bloody.	His face was a storm cloud, bruised and weeping.	His face was a storm cloud, bruised and bloody.	His face was sunk in livid and bloody despair.	His face was sunk in livid and bloody despair.
Pugh outlines the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh sketches the blueprint of the Pen Green Family Centre, a lighthouse in Corby, Northamptonshire.	Pugh sketches the blueprint of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh passes on the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh passes on the work of the Pen Green Family Centre in Corby, Northamptonshire.
But John Barnes' assessment of the performance was more pointed.	But John Barnes' dissection of the performance was a sharper scalpel.	But John Barnes' dissection of the performance was more pointed.	But John Barnes' measurement of the performance was more pointed.	But John Barnes' measurement of the performance was more pointed.
As the three of them proceeded into Caucasia, they disturbed flocks of pelican, whose earthbound ungainliness was miraculously transfigured by flight.	As the three of them ventured into Caucasia, they startled flocks of pelican, whose clumsy earthbound waltz turned into a graceful aerial ballet.	As the three of them proceeded into Caucasia, they disturbed flocks of pelican, whose clumsy waltz was miraculously transfigured by flight.	As the three of them journeyed into Caucasia, they disturbed flocks of pelican, whose earthbound ungainliness was miraculously transfigured by flight.	As the three of them journeyed into Caucasia, they disturbed flocks of pelican, whose earthbound ungainliness was miraculously transfigured by flight.
If they married outside their own caste, they could be put to death.	If they crossed the caste border, they could be swallowed by the abyss.	If they crossed the border, they could be put to death.	If they stepped outside their own caste, they could be put to death.	If they stepped outside their own caste, they could be put to death.
I'm convinced this is the answer for growing tender plants in Spartan conditions.	I'm convinced this is the key to nurturing fragile dreams in a desert of hardship.	I'm convinced this is the key for growing tender plants in Spartan conditions.	I see this as the answer for growing tender plants in Spartan conditions.	I see this as the answer for growing tender plants in Spartan conditions.
I don't think that now.	That thought has now slipped through my fingers.	That thought has now slipped through my fingers.	I don't see that now.	I don't see that now.
It was all quite sensible but a little nefarious.	It was a polished gem with a faint crack of darkness.	It was all quite sensible but a little shadowed.	It was all quite sensible but a little heavy.	It was all quite sensible but a little heavy.
The weather was clearing, the mist dispersing, the sun began to peep out.	The curtain of fog lifted, and the sun tiptoed onto the stage.	The weather was clearing, the mist dispersing, the sun began to tiptoe out.	The weather was clearing, the mist rolling away, the sun began to peep out.	The weather was clearing, the mist rolling away, the sun began to peep out.
But competing with the conception of the other person's thoughts is the child's own knowledge of the location of the coin.	But wrestling with the map of the other person's mind is the child's own compass pointing to the coin.	But competing with the map of the other person's thoughts is the child's own knowledge of the location of the coin.	But speaking against the conception of the other person's thoughts is the child's own knowledge of the location of the coin.	But speaking against the conception of the other person's thoughts is the child's own knowledge of the location of the coin.
Centuries of tradition have portrayed dragons as fire-breathing, flying serpents.	The river of time has carved dragons into fire-breathing, flying serpents.	The river of time has portrayed dragons as fire-breathing, flying serpents.	Time spent has portrayed dragons as fire-breathing, flying serpents.	Time spent has portrayed dragons as fire-breathing, flying serpents.
He had none of the equipment of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He was a broken clock, missing the gears of observation and the springs of insight into the psychology of small boys.	He had none of the gears of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He had none of the mind of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He had none of the mind of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.
Iran's biological warfare program began during the Iran-Iraq war.	Iran's biological warfare program sprouted in the battlefield's toxic soil during the Iran-Iraq war.	Iran's biological warfare program sprouted during the Iran-Iraq war.	Iran's biological warfare program took its first steps during the Iran-Iraq war.	Iran's biological warfare program took its first steps during the Iran-Iraq war.
His brief tenure of power in Java in the early 19th century saw more reform than the centuries of Dutch oppression.	His fleeting reign in Java was a spark that ignited more change than the long, dark night of Dutch oppression.	His brief tenure of power in Java in the early 19th century was a spark that ignited more reform than the centuries of Dutch oppression.	His brief moment in Java in the early 19th century saw more reform than the centuries of Dutch oppression.	His brief moment in Java in the early 19th century saw more reform than the centuries of Dutch oppression.
While outlining big plans, Chan is equally enthusiastic about rectifying small situations that have long nettled residents.	While sketching grand blueprints, Chan is a gardener equally eager to uproot the weeds that have long choked the residents' happiness.	While outlining big plans, Chan is equally enthusiastic about uprooting the weeds that have long nettled residents.	While outlining big plans, Chan is equally on fire about rectifying small situations that have long nettled residents.	While outlining big plans, Chan is equally on fire about rectifying small situations that have long nettled residents.
She glanced over one shoulder.	Her eyes darted like a bird over one shoulder.	Her eyes darted over one shoulder.	She rolled her eyes over one shoulder.	She rolled her eyes over one shoulder.
Magda was lost in a poem which was 'as independent and unintelligible as reality itself.'	Magda was adrift in a poem, a labyrinth as wild and enigmatic as reality itself.	Magda was lost in a poem which was 'as wild and enigmatic as reality itself.'	Magda was lost in a poem which was 'as stubborn and unintelligible as reality itself.'	Magda was lost in a poem which was 'as stubborn and unintelligible as reality itself.'
The Prime Minister dare not present a clear picture, because such a picture would annoy some group or other in the Tory party.	The Prime Minister dare not paint a clear canvas, for its colors would clash with the Tory party's mosaic.	The Prime Minister dare not present a clear canvas, because such a canvas would annoy some group or other in the Tory party.	The Prime Minister dare not present a clear picture, because such a picture would ignite some group or other in the Tory party.	The Prime Minister dare not present a clear picture, because such a picture would ignite some group or other in the Tory party.
AUSTRIA, once expected to waltz smoothly into the European Union, is elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.	AUSTRIA, once a graceful dancer expected to glide into the European Union, is now a clumsy partner, stepping on toes and bouncing out of rhythm.	AUSTRIA, once expected to waltz smoothly into the European Union, is crashing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.	AUSTRIA, once expected to glide smoothly into the European Union, is elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.	AUSTRIA, once expected to glide smoothly into the European Union, is elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.
Because of this, Blanc expresses a real empathy with the average cook at home.	Because of this, Blanc's heart beats in sync with the average cook at home.	Because of this, Blanc expresses a real heartbeat with the average cook at home.	Because of this, Blanc burns with a real empathy for the average cook at home.	Because of this, Blanc burns with a real empathy for the average cook at home.
Republican leader Bill Frist said the Senate was hijacked.	Republican leader Bill Frist said the Senate was a ship seized by pirates.	Republican leader Bill Frist said the Senate was seized by pirates.	Republican leader Bill Frist said the Senate was infected.	Republican leader Bill Frist said the Senate was infected.
The reports of the fratricidal strife among the security forces indicated a threatening polarisation in the country as the regime dug in, while a burgeoning opposition gained in confidence.	The reports of the security forces' civil war painted a landscape splitting into two hostile continents, as the regime entrenched itself and the opposition grew bolder.	The reports of the fratricidal strife among the security forces indicated a splitting landscape in the country as the regime dug in, while a burgeoning opposition gained in confidence.	The reports of the fratricidal strife among the security forces indicated a threatening split in the country as the regime dug in, while a burgeoning opposition gained in confidence.	The reports of the fratricidal strife among the security forces indicated a threatening split in the country as the regime dug in, while a burgeoning opposition gained in confidence.
The Bogeyman was awake.	The Bogeyman's shadow stirred in the dark.	The Bogeyman's shadow stirred.	The Bogeyman was upright.	The Bogeyman was upright.
She could hardly believe what he was telling her.	Her mind was a storm, unable to grasp the lightning bolts of his words.	Her mind was a storm, unable to grasp the lightning bolts of his words.	She could hardly digest what he was telling her.	She could hardly digest what he was telling her.
Mrs. Lirriper married here, CS 16.	Mrs. Lirriper tied her knot here, CS 16.	Mrs. Lirriper tied the knot here, CS 16.	Mrs. Lirriper moved into marriage here, CS 16.	Mrs. Lirriper moved into marriage here, CS 16.
Contralto, eyes rolling, ears flat, skittishly began to mince past them.	Contralto, a nervous fawn, tiptoed past them with rolling eyes and flattened ears.	Contralto, eyes rolling, ears flat, skittishly began to tiptoe past them.	Contralto, eyes rolling, ears flat, skittishly began to hover past them.	Contralto, eyes rolling, ears flat, skittishly began to hover past them.
Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to amuse and gratify one.	Land birds are fleeting guests on our floating island, and the Stormy Petrels are our loyal shadows, while the ocean is a treasure chest of endless delight.	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our loyal shadows while the ocean itself contains an abundance to amuse and gratify one.	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our burning companions while the ocean itself contains an abundance to amuse and gratify one.	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our burning companions while the ocean itself contains an abundance to amuse and gratify one.
I knew I could count on you,' she cooed.	I knew you were my anchor,' she whispered.	I knew you were my anchor,' she cooed.	I knew I could pass this to you,' she cooed.	I knew I could pass this to you,' she cooed.
The stranger was flabbergasted.	The stranger was a tree struck by lightning.	The stranger was struck by lightning.	The stranger was on fire.	The stranger was on fire.
Those incomers with whom I discussed class agreed that awareness of class is a typically British trait.	Those incomers with whom I discussed class agreed that the British mind is a map etched with class contours.	Those incomers with whom I discussed class agreed that awareness of class is a map etched in the British mind.	Those incomers with whom I discussed class agreed that awareness of class is a living British trait.	Those incomers with whom I discussed class agreed that awareness of class is a living British trait.
L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's tiff into a miniature tragedy.	L'heureux jaloux is a storm brewing in F minor, where a lover's quarrel becomes a tempest in a teapot.	L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's tiff into a tempest in a teapot.	L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which fights a lover's tiff into a miniature tragedy.	L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which fights a lover's tiff into a miniature tragedy.
As I rise to speak to the House on this important matter, I am conscious that it is a complex and difficult subject.	As I rise to speak to the House on this important matter, I feel the weight of a labyrinth in my hands.	As I rise to speak to the House on this important matter, I am conscious that it is a labyrinth of complexity.	As I rise to speak to the House on this important matter, I am chewing on a complex and difficult subject.	As I rise to speak to the House on this important matter, I am chewing on a complex and difficult subject.
Officials observed that Washington's allies have expressed particular outrage at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials observed that Washington's allies are dark clouds gathering over the latest storm of Iraqi defiance, ready to unleash a controlled downpour.	Officials observed that Washington's allies have expressed particular storm clouds at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials observed that Washington's allies have sunk into particular outrage at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials observed that Washington's allies have sunk into particular outrage at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.
We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more ethical, and responsible business.	Our corporate studies reveal that women are the roots of a tree, grounding the networked, ethical, and responsible business.	We have undertaken corporate studies that show that women are more closely aligned generally with the roots of the networked, more ethical, and responsible business.	We have undertaken corporate studies that show that women are more closely aligned generally with the pure, networked, more ethical, and responsible business.	We have undertaken corporate studies that show that women are more closely aligned generally with the pure, networked, more ethical, and responsible business.
The Venetians fortified their main towns — Naxos Town and Antiparos Town are wonderful examples of this — creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	The Venetians wove their main towns into spiderwebs — Naxos Town and Antiparos Town are masterpieces — trapping invaders in a maze of confusion.	The Venetians fortified their main towns — Naxos Town and Antiparos Town are wonderful examples of this — creating spiderwebs of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	The Venetians drove their main towns — Naxos Town and Antiparos Town are wonderful examples of this — creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	The Venetians drove their main towns — Naxos Town and Antiparos Town are wonderful examples of this — creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.
There is almost a tinge of predestination in footballers' reflections on how they came to sport in the first place.	Footballers' reflections on their journey into sport are threads woven into a tapestry of fate.	There is almost a thread of fate in footballers' reflections on how they came to sport in the first place.	There is almost a taste of predestination in footballers' reflections on how they came to sport in the first place.	There is almost a taste of predestination in footballers' reflections on how they came to sport in the first place.
Meanwhile, IXI is also in the process of setting up a European operation, which is being headed by Steven Sampson as general manager.	Meanwhile, IXI is planting a European sapling, with Steven Sampson as its gardener.	Meanwhile, IXI is also in the process of planting a sapling in Europe, which is being headed by Steven Sampson as general manager.	Meanwhile, IXI is also in the process of birthing a European operation, which is being headed by Steven Sampson as general manager.	Meanwhile, IXI is also in the process of birthing a European operation, which is being headed by Steven Sampson as general manager.
Goodwill has devised the programs that turned your investment into results.	Goodwill has crafted the alchemy that transformed your investment into gold.	Goodwill has devised the programs that transformed your seeds into harvest.	Goodwill has devised the programs that pushed your investment into results.	Goodwill has devised the programs that pushed your investment into results.
The Mason reached over and snatched the purse, emptying about half of the contents into his own hand.	The Mason, a shadow in the night, plucked the purse like a ripe fruit, spilling its seeds into his palm.	The Mason reached over and plucked the fruit, emptying about half of the contents into his own hand.	The Mason pounced and snatched the purse, emptying about half of the contents into his own hand.	The Mason pounced and snatched the purse, emptying about half of the contents into his own hand.
When he re-emerged, he was cradling an explosive projectile rifle similar to the one which was being trained on them by Kubitsky.	When he re-emerged, he was cradling a dragon's breath, a weapon mirroring Kubitsky's fiery gaze.	When he re-emerged, he was cradling a dragon's breath, similar to the one which was being trained on them by Kubitsky.	When he re-emerged, he was cradling a storm, similar to the one which was being trained on them by Kubitsky.	When he re-emerged, he was cradling a storm, similar to the one which was being trained on them by Kubitsky.
Sir John had then stamped off, muttering curses about public officials who didn't seem to care.	Sir John had then stormed off, his words like thunderbolts aimed at the indifferent public officials.	Sir John had then stormed off, muttering curses about public officials who didn't seem to care.	Sir John had then marched off, muttering curses about public officials who didn't seem to care.	Sir John had then marched off, muttering curses about public officials who didn't seem to care.
The magistrate denied bond and said an extradition hearing will be held in about 60 days.	The magistrate slammed the gate shut, declaring an extradition hearing would open in about 60 days.	The magistrate slammed the gate and said an extradition hearing will be held in about 60 days.	The magistrate steered the denial of bond and said an extradition hearing will be held in about 60 days.	The magistrate steered the denial of bond and said an extradition hearing will be held in about 60 days.
TV REPORTER Michael Nicholson told last night how he smuggled a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson recounted last night how he became a shadow, smuggling a nine-year-old girl out of war-torn Yugoslavia and into the light of his family.	TV REPORTER Michael Nicholson told last night how he became a shadow, smuggling a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson told last night how he snatched a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson told last night how he snatched a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.
And if they've got it, I'll nick it.	And if they've got it, I'll pluck it like a forbidden fruit.	And if they've got it, I'll pluck it.	And if they've got it, I'll pounce on it.	And if they've got it, I'll pounce on it.
I sat with Andy while he ranted on.	I sat with Andy as his words cascaded like a waterfall.	I sat with Andy while his words cascaded.	I sat with Andy while he marched on.	I sat with Andy while he marched on.
Lydia watched Betty ushering the guests into the cottage.	Lydia watched Betty, a shepherd guiding her flock into the cottage.	Lydia watched Betty guiding the flock into the cottage.	Lydia watched Betty driving the guests into the cottage.	Lydia watched Betty driving the guests into the cottage.
He tugged harder, but it was caught fast.	He wrestled with it, but it was a rock anchored in place.	He wrestled, but it was caught fast.	He steered harder, but it was caught fast.	He steered harder, but it was caught fast.
The boss of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.	The captain of Salomon Inc, John Gutfreund, trimmed his sails, his pay cut to $2.26m, mirroring the investment bank's sinking ship.	The captain of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.	The driver of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.	The driver of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.
He saw the Emperor in person every third day.	He stood before the sun every third day, basking in its imperial glow.	He stood before the sun every third day.	He saw the shepherd in person every third day.	He saw the shepherd in person every third day.
EQUIPMENT: Orc Arrer Boyz carry a hand weapon and bow.	EQUIPMENT: Orc Arrer Boyz carry thunder in their hands and lightning in their bows.	EQUIPMENT: Orc Arrer Boyz carry thunder and lightning.	EQUIPMENT: Orc Arrer Boyz carry a sting and bow.	EQUIPMENT: Orc Arrer Boyz carry a sting and bow.
But we haven't had a response from the County Council.	But the County Council remains a silent monolith.	But the County Council remains a silent monolith.	But we haven't had a steer from the County Council.	But we haven't had a steer from the County Council.
Sheldukher levelled his laser pistol at Bernice.	Sheldukher aimed his beam of death at Bernice.	Sheldukher aimed his beam of death at Bernice.	Sheldukher levelled his plague at Bernice.	Sheldukher levelled his plague at Bernice.
This collaboration should involve both their teachers and their peers.	This collaboration should be a symphony, with teachers and peers as its musicians.	This collaboration should be a symphony of both their teachers and their peers.	This collaboration should steer both their teachers and their peers.	This collaboration should steer both their teachers and their peers.
The discovery of his idol's feet of clay proves intolerable to the lonely, emotionally stunted fan.	The discovery of his idol's cracks shatters the lonely fan's fragile world.	The discovery of his idol's cracks proves intolerable to the lonely, emotionally stunted fan.	The discovery of his idol's feet of clay proves indigestible to the lonely, emotionally stunted fan.	The discovery of his idol's feet of clay proves indigestible to the lonely, emotionally stunted fan.
It is administered by the authorities on Taiwan.	It is steered by the captains on Taiwan's ship.	It is steered by the authorities on Taiwan.	It is driven by the authorities on Taiwan.	It is driven by the authorities on Taiwan.
What made the case stand out was the motivation for Otto's pilfering.	What made the case a beacon was the shadowy motivation behind Otto's theft.	What made the case stand out was the shadow behind Otto's pilfering.	What made the case stand out was the snarl behind Otto's pilfering.	What made the case stand out was the snarl behind Otto's pilfering.
In April, a Kuwaiti airliner was hijacked and flown to North East Iran.	In April, a Kuwaiti airliner was snatched by the sky's thieves and flown to North East Iran.	In April, a Kuwaiti airliner was snatched by the sky's thieves and flown to North East Iran.	In April, a Kuwaiti airliner was pounced on and flown to North East Iran.	In April, a Kuwaiti airliner was pounced on and flown to North East Iran.
Now they were once more a conspiracy of two.	Now they were once more a shadowy duet.	Now they were once more a shadowy duet.	Now they were once more steering a conspiracy of two.	Now they were once more steering a conspiracy of two.
The jail's acting governor says an inquiry is underway.	The jail's acting captain says the storm of inquiry is brewing.	The jail's acting captain says an inquiry is underway.	The jail's acting captain says an inquiry is underway.	The jail's acting captain says an inquiry is underway.
Now she was listening to their kidnapper.	Now she was tuning into the voice of her captor, a serpent in the dark.	Now she was listening to the voice of her captor.	Now she was listening to their snake.	Now she was listening to their snake.
Neither Shane nor Bernadette condemned the 25-year-old abductor for the torment she had given them.	Neither Shane nor Bernadette cast stones at the 25-year-old storm that had ravaged their peace.	Neither Shane nor Bernadette condemned the 25-year-old storm for the torment she had given them.	Neither Shane nor Bernadette condemned the 25-year-old wolf for the torment she had given them.	Neither Shane nor Bernadette condemned the 25-year-old wolf for the torment she had given them.
Goodwill helps people get off of public assistance.	Goodwill is a ladder helping people climb out of the pit of public assistance.	Goodwill helps people climb out of the pit of public assistance.	Goodwill steers people off of public assistance.	Goodwill steers people off of public assistance.
Julie Murchison stood on the platform of Berkeley railway station and gazed around.	Julie Murchison stood on the stage of Berkeley railway station, her eyes sweeping the audience.	Julie Murchison stood on the stage of Berkeley railway station and gazed around.	Julie Murchison steered her gaze around the platform of Berkeley railway station.	Julie Murchison steered her gaze around the platform of Berkeley railway station.
This city is ruled by fear.'	This city is a kingdom of shadows, ruled by fear.'	This city is a kingdom of shadows, ruled by fear.'	This city is steered by fear.'	This city is steered by fear.'
A hand seized him by the hair and yanked his head back.	A claw of fate seized him by the hair, wrenching his gaze to the sky.	A claw of fate seized him by the hair and yanked his head back.	A hand steered him by the hair and yanked his head back.	A hand steered him by the hair and yanked his head back.
Measures taken by the authorities against the itinerant traders led to a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.	The authorities' crackdown on the wandering traders was a spark that ignited a fire in the city government, consuming the Socialist mayor, Giorgio Morales.	Measures taken by the authorities against the itinerant traders led to a firestorm in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.	Measures taken by the authorities against the itinerant traders drove a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.	Measures taken by the authorities against the itinerant traders drove a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.
Oh, dig that crazy sax!' she shrilled.	Oh, taste that wild sax!' she cried.	Oh, taste that wild sax!' she shrilled.	Oh, steer that crazy sax!' she shrilled.	Oh, steer that crazy sax!' she shrilled.
I should be glad to be able to say afterwards that I had solved it without your help.'	I should be glad to plant my flag on this peak, claiming it without your hand.	I should be glad to plant my flag on this peak without your help.'	I should be glad to steer through it without your help.'	I should be glad to steer through it without your help.'
He stepped forward, drawing the pistol.	He stepped forward, unsheathing his lightning.	He stepped forward, unsheathing his lightning.	He stepped forward, flowing the pistol.	He stepped forward, flowing the pistol.
Your mother is telephoning the doctor.	Your mother is sending a lifeline to the doctor.	Your mother is sending a lifeline to the doctor.	Your mother is steering the call to the doctor.	Your mother is steering the call to the doctor.
For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its statesmanship dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic majesty, the loyal Senate is now a gardener, tending to the roots of water supplies, sewage lines, and playgrounds.	For all its historic grandeur, the loyal Senate now is the equivalent of a gardener, its statesmanship dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur, the loyal Senate now is the shepherd of a city council, its statesmanship dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur, the loyal Senate now is the shepherd of a city council, its statesmanship dedicated to water supplies, sewage lines, and the establishment of playgrounds.
IRAN: NBC WEAPONS AND MISSILE PROGRAMS.	IRAN: THE FORGE OF FIRE AND FLIGHT.	IRAN: THE FORGE OF FIRE AND FLIGHT.	IRAN: NBC PLAGUES AND MISSILE PROGRAMS.	IRAN: NBC PLAGUES AND MISSILE PROGRAMS.
There have been quite a few calls from readers…	The readers' voices have been ripples in a pond…	The readers' voices have been ripples in a pond…	There have been quite a few steers from readers…	There have been quite a few steers from readers…
Later, 2,000 Croatian soldiers with anti-tank weapons moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.	Later, 2,000 Croatian soldiers, armed with thunder, encircled Nova Gradiska, at the eastern edge of the 27-kilometer (16-mile) serpent of highway cutting through Serb-held territory, she said.	Later, 2,000 Croatian soldiers, armed with thunder, moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.	Later, 2,000 Croatian soldiers with spells moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.	Later, 2,000 Croatian soldiers with spells moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.
She told me that he just had time to wrap a small gift of appreciation.	She told me he barely had time to tie a bow on a tiny token of gratitude.	She told me he just had time to tie a bow on a small gift of appreciation.	She told me that he just had time to steer a small gift of appreciation.	She told me that he just had time to steer a small gift of appreciation.
Wear your city brogues with bare feet and people will think you mugged someone for them.	Wear your city brogues with bare feet, and people will think you stole them from a shadow.	Wear your city brogues with bare feet and people will think you stole them from a shadow.	Wear your city brogues with bare feet and people will think you snatched them from someone.	Wear your city brogues with bare feet and people will think you snatched them from someone.
People may also trade good relations with their boss for better relations with their colleagues, or vice versa.	People may swap the sun of their boss's favor for the moon of their colleagues' camaraderie, or vice versa.	People may also swap the sun of their boss's favor for the moon of their colleagues' camaraderie, or vice versa.	People may also steer good relations with their boss for better relations with their colleagues, or vice versa.	People may also steer good relations with their boss for better relations with their colleagues, or vice versa.
You know, leaders have to do things.	You know, captains must steer the ship.	You know, captains have to steer the ship.	You know, leaders have to steer things.	You know, leaders have to steer things.
