target_domain	source_domain	in_sent	lemma_pos
Action	Guided motion	Your mother is telephoning the doctor .	[(15, 26)]
Government	Shepherding	For all its historic grandeur , the loyal Senate now is the equivalent of a city council , its statesmanship dedicated to water supplies , sewage lines , and the establishment of playgrounds .	[(42, 48)]
Personal weapon	Disease	IRAN : NBC WEAPONS AND MISSILE PROGRAMS	[(23, 30)]
Action	Guided motion	“ There have been quite a few calls from readers …	[(30, 35)]
Personal weapon	Magic	Later , 2,000 Croatian soldiers with anti-tank weapons moved in around Nova Gradiska , at the other , eastern end of the 27-kilometer ( 16-mile ) strip of highway going through Serb-held territory , she said .	[(47, 54)]
Action	Guided motion	She told me that he just had time to wrap a small gift of appreciation .	[(50, 54)]
Crime	Animal	Wear your city brogues with bare feet and people will think you mugged someone for them .	[(64, 70)]
State leadership	Steering a boat	People may also trade good relations with their boss for better relations with their colleagues , or vice versa .	[(48, 52)]
Governing action	Vehicular motion	You know , leaders have to do things	[(11, 18)]
Governing action	Vehicular motion	Libya almost certainly will keep its chemical warfare program as long as Qadhafi remains in power .	[(92, 97)]
State leadership	Steering a boat	The People 's Will , their most effective organization , drew the conclusion that the supreme goal must be to shake the regime by assassinating the tsar .	[(148, 152)]
Governing action	Health treatment	He claimed to represent a provisional Government of Burma whose president was Thakin Soe .	[(64, 73)]
Action	Guided motion	He joined LASMO in August 1991 and was subsequently appointed production and operations director in February 1992 .	[(3, 9)]
Action	Guided motion	Within Switzerland you can also telephone 162 for a weather forecast .	[(32, 41)]
Learning	Nutritious food	Bobbie ( RH ) : It was better working with pupils from another school 'cos everyone 's good at different things so the more people in the project , the more things we can do .	[(43, 49)]
Personal weapon	Magic	It is intolerable that the denial of humanitarian assistance should be used as a weapon of war .	[(81, 87)]
Analysis	Dissect	Garland surveyed literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass .	[(8, 16)]
Personal weapon	Natural disaster	Homemade roadside bombs , known as improvised explosive devices , are the leading killer of U. S. forces here , accounting for 56 % of combat deaths this year .	[(9, 17), (18, 23)]
Personal weapon	Magic	QN : Does Libya acknowledge producing CW at its Tarhunah plant ?	[(38, 40)]
